folioviv,tipo_viv,mat_pared,mat_techos,mat_pisos,antiguedad,antigua_ne,cocina,cocina_dor,cuart_dorm,num_cuarto,disp_agua,dotac_agua,excusado,uso_compar,sanit_agua,biodigest,bano_comp,bano_excus,bano_regad,drenaje,disp_elect,focos_inca,focos_ahor,combustible,estufa_chi,eli_basura,tenencia,renta,estim_pago,pago_viv,pago_mesp,tipo_adqui,viv_usada,tipo_finan,num_dueno1,hog_dueno1,num_dueno2,hog_dueno2,escrituras,lavadero,fregadero,regadera,tinaco_azo,cisterna,pileta,calent_sol,calent_gas,medidor_luz,bomba_agua,tanque_gas,aire_acond,calefacc,tot_resid,tot_hom,tot_muj,tot_hog,ubica_geo,ageb,tam_loc,est_socio,est_dis,upm,factor_viv
0100059804,1,8,10,2,40, ,1,2,2,5,1,1,1,2,2,2,1,0,0,1,1,7,0,3, ,3,2, ,1000, , , , , , , , , , ,2,1,1,1,2,2,2,1,1,2,2,2,2,5,4,1,1,010010000,000-0,1,3,004,00720,626
0100059805,1,8,10,3,30, ,1,2,4,6,1,1,1,2,1,2,1,0,0,1,1,0,8,3, ,3,4, ,2000, , ,2, ,5,01,1, , ,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,010010000,000-0,1,3,004,00720,626
0100077501,1,8,10,3,46, ,1,2,1,7,1,1,1,2,1,2,2,0,0,1,1,8,2,3, ,3,4, ,3000, , ,1,1,5,01,1, , ,2,1,1,1,1,1,2,2,1,1,1,1,2,2,1,0,1,1,010010000,000-0,1,2,003,00300,606
0100077502,1,8,10,3,45, ,1,2,2,12,1,1,1,2,1,2,1,2,0,1,1,12,0,3, ,3,4, ,2000, , ,3, ,5,01,1, , ,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,010010000,000-0,1,2,003,00300,606
0100077503,1,8,10,3, ,1,1,2,3,6,1,1,1,2,1,2,1,0,0,1,1,2,6,3, ,3,1,2100, , ,1, , , , , , , , ,1,1,1,2,2,2,2,1,1,2,2,2,2,5,3,2,1,010010000,000-0,1,2,003,00300,606
0100077504,1,8,10,2, ,1,1,2,4,5,1,1,1,2,2,2,0,1,0,1,1,5,0,3, ,3,1,1500, , ,1, , , , , , , , ,1,2,2,2,2,2,2,2,1,2,2,2,2,15,9,6,1,010010000,000-0,1,2,003,00300,606
0100077505,1,8,10,2,40, ,1,2,2,3,1,1,1,2,2,2,1,0,0,1,1,3,0,3, ,3,4, ,1000, , ,2, ,5,02,1, , ,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,010010000,000-0,1,2,003,00300,606
0100143602,1,8,10,3,40, ,1,2,1,5,1,1,1,2,1,2,1,0,0,1,1,0,5,3, ,3,4, ,1500, , ,4, , ,01,1, , ,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,0,1,1,010010000,000-0,1,3,004,00440,503
0100143603,1,8,10,3,50, ,1,2,5,8,1,1,1,2,1,2,1,1,0,1,1,8,0,3, ,3,4, ,3000, , ,2, ,5,01,1, , ,1,1,1,1,1,1,2,2,2,1,2,2,2,2,11,5,6,2,010010000,000-0,1,3,004,00440,503
0100143604,1,8,10,2,60, ,1,2,2,5,1,1,1,2,1,2,1,0,0,1,1,0,4,3, ,3,4, ,2000, , ,4, , ,02,1, , ,1,1,1,1,2,2,2,2,1,1,2,2,2,2,3,2,1,1,010010000,000-0,1,3,004,00440,503
0100143605,1,8,10,3, ,1,1,2,2,3,1,1,1,2,1,2,1,0,0,1,1,0,5,3, ,3,1,1000, , ,1, , , , , , , , ,1,2,1,1,1,2,2,1,1,1,2,2,2,3,2,1,1,010010000,000-0,1,3,004,00440,503
0100179201,1,8,10,2,40, ,1,2,2,9,1,1,1,2,1,2,2,0,0,1,1,14,0,3, ,3,4, ,800, , ,1,1,1,02,1, , ,1,1,1,1,1,2,2,2,2,1,2,2,2,2,6,3,3,1,010010000,000-0,1,3,004,00530,587
0100179202,1,8,10,3,30, ,1,2,1,5,1,1,1,2,1,2,1,0,0,1,1,0,8,3, ,3,4, ,1500, , ,2, ,4,01,1, , ,1,1,1,1,2,1,2,2,1,1,1,2,2,2,1,0,1,1,010010000,000-0,1,3,004,00530,587
0100179203,1,8,10,2,36, ,1,2,3,5,1,2,1,2,1,2,1,0,0,1,1,3,3,3, ,3,2, ,1200, , , , , , , , , , ,1,1,1,2,2,2,2,1,1,2,2,2,2,6,3,3,1,010010000,000-0,1,3,004,00530,587
0100179204,1,8,10,2,32, ,1,2,4,6,1,1,1,2,1,2,1,0,0,1,1,8,0,3, ,3,4, ,700, , ,3, ,5,01,1, , ,1,2,2,1,2,2,2,2,2,1,2,2,2,2,8,4,4,1,010010000,000-0,1,3,004,00530,587
0100179205,1,8,10,2,40, ,1,2,2,5,1,1,1,2,1,2,1,0,0,1,1,9,0,3, ,3,3, ,1200,1200,1,4, , ,01,1, , ,1,1,1,1,2,2,2,2,2,1,2,2,2,2,3,2,1,1,010010000,000-0,1,3,004,00530,587
0100187101,1,8,10,3,45, ,1,2,1,6,1,1,1,2,1,2,2,1,0,1,1,0,10,3, ,3,4, ,3500, , ,1,2,3,02,1, , ,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,010010000,000-0,1,3,004,00250,646
0100187102,1,7,10,2, ,1,1,2,1,3,1,1,1,2,1,2,1,0,0,1,1,4,0,3, ,3,1,1000, , ,1, , , , , , , , ,1,1,1,2,2,2,2,2,2,2,2,2,2,3,1,2,1,010010000,000-0,1,3,004,00250,646
0100187103,1,8,10,3, ,1,1,2,3,5,1,1,1,2,1,2,1,0,0,1,1,0,10,4, ,3,1,3200, , ,1, , , , , , , , ,1,1,1,1,2,1,2,1,1,2,1,2,2,4,2,2,1,010010000,000-0,1,3,004,00250,646
0100187104,1,8,10,3, ,1,1,2,2,4,1,1,1,2,1,2,1,0,0,1,1,1,4,3, ,3,1,1800, , ,1, , , , , , , , ,1,1,1,1,1,2,2,1,1,1,2,2,2,4,4,0,1,010010000,000-0,1,3,004,00250,646
0100187105,1,8,10,2, ,1,1,2,1,4,1,2,1,2,1,2,1,0,0,1,1,0,6,3, ,3,1,2100, , ,1, , , , , , , , ,2,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,010010000,000-0,1,3,004,00250,646
0100274301,1,8,10,3,70, ,1,2,3,9,1,1,1,2,1,2,1,1,0,1,1,6,3,3, ,3,2, ,2000, , , , , , , , , , ,1,1,1,1,1,2,2,1,1,1,2,2,2,4,2,2,1,010010000,000-0,1,3,004,00750,587
0100274302,1,8,10,3,21, ,1,2,3,6,1,1,1,2,1,2,2,0,0,1,1,2,6,3, ,3,4, ,2500, , ,1,2,2,01,1, , ,1,2,1,1,1,1,2,2,1,1,1,2,2,2,4,2,2,1,010010000,000-0,1,3,004,00750,587
0100274303,1,8,10,2, ,1,1,2,2,4,1,1,1,2,1,2,1,0,0,1,1,2,3,3, ,3,1,720, , ,1, , , , , , , , ,1,2,1,1,2,2,2,2,1,1,2,2,2,4,2,2,1,010010000,000-0,1,3,004,00750,587
