Grupo PIB,Porcentaje PIB,Porcentaje Población,Porcentaje PIB manufacturero,Porcentaje PIB Comercio Por Mayor
PIB per cápita alto,52.570968644548756,35.9218201929145,60.25228577724728,54.760643050446674
PIB per cápita bajo,27.345461268908817,44.06197767486994,23.27163594465284,26.348795347326444
PIB per cápita medio,20.083570086542416,20.01620213221555,16.476078278099884,18.89056160222685
